Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,Method Code,CBSA Code,CBSA Name,County FIPS Code,County,Site Latitude,Site Longitude,Date_Cleaned
/2024,AQS,60010007,1,0.031,ppm,29.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-01
01/02/2024,AQS,60010007,1,0.037,ppm,34.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-02
/2024,AQS,60010007,1,,ppm,30.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-03
January 04/2024,AQS,60010007,1,0.026,ppm,24.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-04
January 05/2024,AQS,60010007,1,0.027,ppm,25.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-05
January 06/2024,AQS,60010007,1,0.031,ppm,29.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-06
01/07/2024,AQS,60010007,1,0.03,ppm,28.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-07
/2024,AQS,60010007,1,0.027,ppm,25.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-08
/2024,AQS,60010007,1,0.034,ppm,31.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-09
January 10/2024,AQS,60010007,1,0.036,ppm,33.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-10
January 11/2024,AQS,60010007,1,0.031,ppm,29.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-11
January 12/2024,AQS,60010007,1,0.027,ppm,25.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-12
01/13/2024,AQS,60010007,1,0.032,ppm,,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-13
01/14/2024,AQS,60010007,1,0.033,ppm,31.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-14
01/15/2024,AQS,60010007,1,0.027,ppm,25.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-15
/2024,AQS,60010007,1,0.016,ppm,15.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-16
01/17/2024,AQS,60010007,1,0.033,ppm,31.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-17
01/18/2024,AQS,60010007,1,0.022,ppm,20.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-18
01/19/2024,AQS,60010007,1,0.009,ppm,8.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-19
/2024,AQS,60010007,1,0.033,ppm,31.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-20
01/21/2024,AQS,60010007,1,0.034,ppm,31.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-21
/2024,AQS,60010007,1,0.033,ppm,31.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-22
01/23/2024,AQS,60010007,1,0.031,ppm,29.0,Livermore,16,94.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-23
01/24/2024,AirNow,60010007,1,0.028,ppm,26.0,Livermore,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-24
01/30/2024,AQS,60010007,1,0.032,ppm,30.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217,2024-01-30
01/01/2024,AQS,60010009,1,0.024,ppm,,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-01
January 02/2024,AQS,60010009,1,0.033,ppm,31.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-02
01/03/2024,AQS,60010009,1,0.03,ppm,28.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-03
01/04/2024,AQS,60010009,1,0.022,ppm,20.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-04
January 05/2024,AQS,60010009,1,0.021,ppm,19.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-05
01/06/2024,AQS,60010009,1,0.031,ppm,29.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-06
01/07/2024,AQS,60010009,1,0.027,ppm,25.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-07
January 08/2024,AQS,60010009,1,0.02,ppm,19.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-08
/2024,AQS,60010009,1,0.028,ppm,26.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-09
01/10/2024,AQS,60010009,1,0.035,ppm,32.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-10
/2024,AQS,60010009,1,0.026,ppm,24.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-11
01/12/2024,AQS,60010009,1,0.026,ppm,24.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-12
01/13/2024,AQS,60010009,1,0.027,ppm,25.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-13
01/14/2024,AQS,60010009,1,0.03,ppm,28.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-14
01/15/2024,AQS,60010009,1,,ppm,21.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-15
01/16/2024,AQS,60010009,1,0.026,ppm,24.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-16
01/17/2024,AQS,60010009,1,0.027,ppm,25.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-17
January 18/2024,AQS,60010009,1,0.015,ppm,14.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-18
01/19/2024,AQS,60010009,1,0.02,ppm,19.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-19
January 20/2024,AQS,60010009,1,0.031,ppm,29.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-20
January 21/2024,AQS,60010009,1,0.033,ppm,31.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-21
/2024,AQS,60010009,1,0.031,ppm,29.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-22
01/23/2024,AQS,60010009,1,0.031,ppm,29.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-23
01/24/2024,AQS,60010009,1,0.027,ppm,25.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-24
01/25/2024,AQS,60010009,1,0.03,ppm,28.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-25
January 26/2024,AQS,60010009,1,0.018,ppm,17.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-26
01/27/2024,AQS,60010009,1,0.021,ppm,19.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-27
/2024,AQS,60010009,1,0.022,ppm,20.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-28
01/29/2024,AQS,60010009,1,0.024,ppm,22.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-29
01/30/2024,AQS,60010009,1,0.031,ppm,29.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-30
