Date,original_date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,Method Code,CBSA Code,CBSA Name,County FIPS Code,County,Site Latitude,Site Longitude
2024-01-01,/2024,AQS,60010007,1,0.031,ppm,29.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-02,01/02/2024,AQS,60010007,1,0.037,ppm,34.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-03,/2024,AQS,60010007,1,0.0315,ppm,30.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-04,January 04/2024,AQS,60010007,1,0.026,ppm,24.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-05,January 05/2024,AQS,60010007,1,0.027,ppm,25.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-06,January 06/2024,AQS,60010007,1,0.031,ppm,29.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-07,01/07/2024,AQS,60010007,1,0.03,ppm,28.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-08,/2024,AQS,60010007,1,0.027,ppm,25.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-09,/2024,AQS,60010007,1,0.034,ppm,31.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-10,January 10/2024,AQS,60010007,1,0.036,ppm,33.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-11,January 11/2024,AQS,60010007,1,0.031,ppm,29.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-12,January 12/2024,AQS,60010007,1,0.027,ppm,25.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-13,01/13/2024,AQS,60010007,1,0.032,ppm,28.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-14,01/14/2024,AQS,60010007,1,0.033,ppm,31.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-15,01/15/2024,AQS,60010007,1,0.027,ppm,25.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-16,/2024,AQS,60010007,1,0.016,ppm,15.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-17,01/17/2024,AQS,60010007,1,0.033,ppm,31.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-18,01/18/2024,AQS,60010007,1,0.022,ppm,20.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-19,01/19/2024,AQS,60010007,1,0.009,ppm,8.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-20,/2024,AQS,60010007,1,0.033,ppm,31.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-21,01/21/2024,AQS,60010007,1,0.034,ppm,31.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-22,/2024,AQS,60010007,1,0.033,ppm,31.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-23,01/23/2024,AQS,60010007,1,0.031,ppm,29.0,Livermore,16.0,94.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-24,01/24/2024,AirNow,60010007,1,0.028,ppm,26.0,Livermore,24.0,100.0,0.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-30,01/30/2024,AQS,60010007,1,0.032,ppm,30.0,Livermore,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
2024-01-01,01/01/2024,AQS,60010009,1,0.024,ppm,31.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-02,January 02/2024,AQS,60010009,1,0.033,ppm,31.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-03,01/03/2024,AQS,60010009,1,0.03,ppm,28.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-04,01/04/2024,AQS,60010009,1,0.022,ppm,20.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-05,January 05/2024,AQS,60010009,1,0.021,ppm,19.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-06,01/06/2024,AQS,60010009,1,0.031,ppm,29.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-07,01/07/2024,AQS,60010009,1,0.027,ppm,25.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-08,January 08/2024,AQS,60010009,1,0.02,ppm,19.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-09,/2024,AQS,60010009,1,0.028,ppm,26.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-10,01/10/2024,AQS,60010009,1,0.035,ppm,32.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-11,/2024,AQS,60010009,1,0.026,ppm,24.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-12,01/12/2024,AQS,60010009,1,0.026,ppm,24.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-13,01/13/2024,AQS,60010009,1,0.027,ppm,25.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-14,01/14/2024,AQS,60010009,1,0.03,ppm,28.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-15,01/15/2024,AQS,60010009,1,0.027999999999999997,ppm,21.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-16,01/16/2024,AQS,60010009,1,0.026,ppm,24.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-17,01/17/2024,AQS,60010009,1,0.027,ppm,25.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-18,January 18/2024,AQS,60010009,1,0.015,ppm,14.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-19,01/19/2024,AQS,60010009,1,0.02,ppm,19.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-20,January 20/2024,AQS,60010009,1,0.031,ppm,29.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-21,January 21/2024,AQS,60010009,1,0.033,ppm,31.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-22,/2024,AQS,60010009,1,0.031,ppm,29.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-23,01/23/2024,AQS,60010009,1,0.031,ppm,29.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-24,01/24/2024,AQS,60010009,1,0.027,ppm,25.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
2024-01-25,01/25/2024,AQS,60010009,1,0.03,ppm,28.0,Oakland,17.0,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
